City	Latitude	Longitude
Mumbai	19.0760	72.8777
Delhi	28.6139	77.2090
Bengaluru	12.9716	77.5946
Hyderabad	17.3850	78.4867
Chennai	13.0827	80.2707
Kolkata	22.5726	88.3639
Ahmedabad	23.0225	72.5714
Pune	18.5204	73.8567
Jaipur	26.9124	75.7873
Surat	21.1702	72.8311
Kanpur	26.4499	80.3319
Lucknow	26.8467	80.9462
Nagpur	21.1458	79.0882
Indore	22.7196	75.8577
Bhopal	23.2599	77.4126
Coimbatore	11.0168	76.9558
Visakhapatnam	17.6868	83.2185
Vadodara	22.3074	73.1812
Ludhiana	30.9009	75.8573
Agra	27.1767	78.0081
Madurai	9.9251	78.1198
Jodhpur	26.2950	73.0169
Guwahati	26.1445	91.7362
Amritsar	31.6339	74.8723
Ranchi	23.3441	85.3096
